ダウンロードした時刻：2020/07/09 13:56:32

,所沢,所沢,所沢
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2014/1/1,6.2,8,1
2014/1/2,4.5,8,1
2014/1/3,2.5,8,1
2014/1/4,4.1,8,1
2014/1/5,3.9,8,1
2014/1/6,2.6,8,1
2014/1/7,2.5,8,1
2014/1/8,4.0,8,1
2014/1/9,5.0,8,1
2014/1/10,1.3,8,1
2014/1/11,2.0,8,1
2014/1/12,2.7,8,1
2014/1/13,2.5,8,1
2014/1/14,2.2,8,1
2014/1/15,-0.1,8,1
2014/1/16,1.8,8,1
2014/1/17,2.4,8,1
2014/1/18,2.4,8,1
2014/1/19,2.2,8,1
2014/1/20,1.2,8,1
2014/1/21,3.9,8,1
2014/1/22,2.9,8,1
2014/1/23,3.3,8,1
2014/1/24,3.3,8,1
2014/1/25,3.9,8,1
2014/1/26,5.5,8,1
2014/1/27,2.0,8,1
2014/1/28,4.7,8,1
2014/1/29,5.8,8,1
2014/1/30,5.8,8,1
2014/1/31,7.1,8,1
2014/2/1,4.0,8,1
2014/2/2,6.1,8,1
2014/2/3,8.3,8,1
2014/2/4,2.8,8,1
2014/2/5,-0.8,5,1
2014/2/6,0.3,8,1
2014/2/7,2.0,8,1
2014/2/8,-1.0,8,1
2014/2/9,3.4,8,1
2014/2/10,3.2,8,1
2014/2/11,1.9,8,1
2014/2/12,2.4,8,1
2014/2/13,2.2,8,1
2014/2/14,-0.1,8,1
2014/2/15,3.7,8,1
2014/2/16,6.1,8,1
2014/2/17,4.3,8,1
2014/2/18,2.1,8,1
2014/2/19,2.0,8,1
2014/2/20,1.3,8,1
2014/2/21,2.2,8,1
2014/2/22,2.5,8,1
2014/2/23,3.0,8,1
2014/2/24,3.8,8,1
2014/2/25,4.7,8,1
2014/2/26,5.6,8,1
2014/2/27,5.2,8,1
2014/2/28,10.4,8,1
2014/3/1,7.0,8,1
2014/3/2,4.1,8,1
2014/3/3,4.5,8,1
2014/3/4,4.7,8,1
2014/3/5,4.7,8,1
2014/3/6,3.5,8,1
2014/3/7,1.9,8,1
2014/3/8,3.3,8,1
2014/3/9,4.3,8,1
2014/3/10,2.9,8,1
2014/3/11,3.8,8,1
2014/3/12,7.9,8,1
2014/3/13,6.9,8,1
2014/3/14,7.5,8,1
2014/3/15,6.0,8,1
2014/3/16,8.1,8,1
2014/3/17,8.6,8,1
2014/3/18,12.4,8,1
2014/3/19,9.0,8,1
2014/3/20,6.4,8,1
2014/3/21,8.2,8,1
2014/3/22,7.6,8,1
2014/3/23,8.9,8,1
2014/3/24,10.7,8,1
2014/3/25,13.5,8,1
2014/3/26,13.6,8,1
2014/3/27,10.0,8,1
2014/3/28,12.0,8,1
2014/3/29,14.1,8,1
2014/3/30,14.2,8,1
2014/3/31,13.9,8,1
2014/4/1,12.1,8,1
2014/4/2,12.3,8,1
2014/4/3,11.6,8,1
2014/4/4,13.4,8,1
2014/4/5,9.6,8,1
2014/4/6,7.1,8,1
2014/4/7,8.6,8,1
2014/4/8,13.0,8,1
2014/4/9,13.2,8,1
2014/4/10,14.0,8,1
2014/4/11,11.0,8,1
2014/4/12,11.8,8,1
2014/4/13,11.7,8,1
2014/4/14,12.0,8,1
2014/4/15,14.2,8,1
2014/4/16,15.7,8,1
2014/4/17,15.0,8,1
2014/4/18,9.8,8,1
2014/4/19,10.0,8,1
2014/4/20,8.9,8,1
2014/4/21,11.8,8,1
2014/4/22,13.9,8,1
2014/4/23,14.2,8,1
2014/4/24,14.7,8,1
2014/4/25,15.4,8,1
2014/4/26,16.2,8,1
2014/4/27,15.8,8,1
2014/4/28,15.7,8,1
2014/4/29,16.0,8,1
